year,age,labour_force,employed,unemployed,outside_labour_force
1991,15-19,67000,63800,3200,167800
1991,20-24,191500,185500,6000,44900
1991,25-29,234500,229200,5300,40600
1991,30-34,229300,225800,3600,59200
1991,35-39,201700,198400,3200,58200
1991,40-44,171800,169000,2800,54700
1991,45-49,97000,95800,1200,40700
1991,50-54,86100,84500,1600,50200
1991,55-59,49400,48800,600,57800
1991,60-64,26700,26400,300,62800
1991,65-69,10400,10400,100,49200
1991,70 and over,7500,7400,100,94700
1992,15-19,61900,57900,4100,167500
1992,20-24,189800,178800,11100,51000
1992,25-29,236700,229300,7400,38300
1992,30-34,237100,231700,5400,55500
1992,35-39,205400,201600,3700,61500
1992,40-44,176800,173800,3000,55300
1992,45-49,111000,108600,2400,44200
1992,50-54,90500,88700,1800,54400
1992,55-59,50800,50100,700,57500
1992,60-64,28400,28100,300,64800
1992,65-69,13100,12900,100,50200
1992,70 and over,8300,8300,-,95100
1993,15-19,53500,49700,3800,172400
1993,20-24,190900,179300,11700,53600
1993,25-29,221800,214400,7400,37100
1993,30-34,227000,222600,4400,56800
1993,35-39,215400,211100,4300,63000
1993,40-44,190100,187000,3000,58800
1993,45-49,128800,126700,2100,46900
1993,50-54,90200,88400,1700,51700
1993,55-59,53400,52500,900,60200
1993,60-64,28900,28500,500,66200
1993,65-69,12900,12700,200,54800
1993,70 and over,8800,8700,100,99700
1994,15-19,46200,42600,3500,167600
1994,20-24,188500,176500,12000,57100
1994,25-29,224600,217400,7200,35400
1994,30-34,233700,229300,4300,57900
1994,35-39,227600,223700,3900,63900
1994,40-44,190300,186900,3400,58000
1994,45-49,140700,138300,2400,49600
1994,50-54,91500,90000,1400,50800
1994,55-59,58900,58000,1000,59900
1994,60-64,29600,29000,600,66400
1994,65-69,14600,14500,100,57000
1994,70 and over,9900,9700,100,101100
1996,15-19,40600,37300,3300,175400
1996,20-24,164500,152600,11900,56700
1996,25-29,213000,205400,7600,30600
1996,30-34,245000,240200,4800,53700
1996,35-39,242100,236700,5400,63900
1996,40-44,216100,211200,4800,62700
1996,45-49,177400,173800,3600,56500
1996,50-54,89100,86700,2400,41900
1996,55-59,67700,66000,1700,60200
1996,60-64,30200,29300,900,65400
1996,65-69,16400,16200,200,62300
1996,70 and over,9500,9400,100,116300
1997,15-19,32800,31200,1600,178400
1997,20-24,161900,152900,9000,63900
1997,25-29,222300,216000,6300,31800
1997,30-34,241600,236600,5000,52200
1997,35-39,238300,234100,4100,65300
1997,40-44,222900,218600,4300,63300
1997,45-49,186500,182900,3600,58100
1997,50-54,107000,104900,2100,47900
1997,55-59,67800,66500,1300,65200
1997,60-64,32100,31400,700,67000
1997,65-69,16800,16600,300,63800
1997,70 and over,8300,8200,100,118400
1998,15-19,29100,26800,2300,185700
1998,20-24,141800,130000,11800,65500
1998,25-29,215300,206700,8700,32800
1998,30-34,240300,234400,5900,50300
1998,35-39,246900,240500,6400,61100
1998,40-44,235900,230100,5900,63700
1998,45-49,193100,187600,5500,59200
1998,50-54,118000,114700,3300,53400
1998,55-59,70500,68500,2100,61600
1998,60-64,31500,30900,700,70400
1998,65-69,15200,15000,200,68100
1998,70 and over,8900,8900,-,131500
1999,15-19,34200,30600,3600,178300
