,Year,Industry,Change
396,2007,others,2.1
397,2007,construction,40.4
398,2007,"food, beverages and tobacco",3.2
399,2007,paper products and printing,0.1
400,2007,"petroleum, chemical and pharmaceutical products",5.6
401,2007,rubber and plastic products,0.5
402,2007,fabricated metal products,1.9
403,2007,machinery and equipment,4.5
404,2007,electrical products,0.3
405,2007,electronic products,-0.6
406,2007,medical and precision instruments,0.4
407,2007,transport equipment,30.1
408,2007,other manufacturing industries,3.4
409,2007,wholesale and retail trade,18.2
410,2007,wholesale and retail trade,1.7
411,2007,transport and storage,3
412,2007,transport and storage,5.4
413,2007,transport and storage,-4.8
414,2007,transport and storage,1.4
415,2007,hotels and restaurants,0.6
416,2007,hotels and restaurants,15.7
417,2007,information and communications,0.6
418,2007,information and communications,0.5
419,2007,information and communications,5.2
420,2007,financial services,20.9
421,2007,financial services,1
422,2007,real estate and leasing services,8.6
423,2007,professional services,9.9
424,2007,professional services,6.4
425,2007,professional services,5.8
426,2007,"community, social and personal services",6.3
427,2007,"community, social and personal services",5.6
428,2007,"community, social and personal services",20.3
429,2008,others,1.6
430,2008,construction,64
431,2008,"food, beverages and tobacco",1.3
432,2008,paper products and printing,0.7
433,2008,"petroleum, chemical and pharmaceutical products",11.1
434,2008,rubber and plastic products,-1.5
435,2008,fabricated metal products,2.2
436,2008,machinery and equipment,-1.8
437,2008,electrical products,0.8
438,2008,electronic products,-7.2
439,2008,medical and precision instruments,1.1
440,2008,transport equipment,10.3
441,2008,other manufacturing industries,2.4
442,2008,wholesale and retail trade,8.9
443,2008,wholesale and retail trade,7.5
444,2008,transport and storage,5
445,2008,transport and storage,3.5
446,2008,transport and storage,1.4
447,2008,transport and storage,3.9
448,2008,hotels and restaurants,0.1
449,2008,hotels and restaurants,16.7
450,2008,information and communications,0.1
451,2008,information and communications,1
452,2008,information and communications,4.5
453,2008,financial services,10.5
454,2008,financial services,0.9
455,2008,real estate and leasing services,6.9
456,2008,professional services,6.8
457,2008,professional services,6.8
458,2008,professional services,4.5
459,2008,"community, social and personal services",6.6
460,2008,"community, social and personal services",6.6
461,2008,"community, social and personal services",22.9
462,2009,others,-1.2
463,2009,construction,24.2
464,2009,"food, beverages and tobacco",1.2
465,2009,paper / rubber / plastic products and printing,-3.6
466,2009,"petroleum, chemical and pharmaceutical products",6.7
467,2009,"fabricated metal products, machinery and equipment",-10.1
468,2009,"electronic, computer and optical products",-10.2
469,2009,transport equipment,-24.4
470,2009,other manufacturing industries,-2.3
471,2009,wholesale and retail trade,1.9
472,2009,wholesale and retail trade,2.7
473,2009,transportation and storage,0.7
474,2009,transportation and storage,-0.3
475,2009,transportation and storage,-0.1
476,2009,transportation and storage,-2.9
477,2009,accommodation and food services,-1.1
478,2009,accommodation and food services,3.4
479,2009,information and communications,0.5
480,2009,information and communications,2.4
481,2009,financial and insurance services,0.6
482,2009,financial and insurance services,0.8
483,2009,real estate services,2.6
484,2009,professional services,2
485,2009,professional services,2.2
486,2009,professional services,0.3
487,2009,administrative and support services,2.5
488,2009,administrative and support services,2.1
489,2009,administrative and support services,3.3
490,2009,"community, social and personal services",12
491,2009,"community, social and personal services",5.6
492,2009,"community, social and personal services",7.8
493,2009,"community, social and personal services",8.3
494,2010,others,0.5
495,2010,construction,0.5
496,2010,"food, beverages and tobacco",1.9
497,2010,paper / rubber / plastic products and printing,3.5
498,2010,"petroleum, chemical and pharmaceutical products",-3.8
499,2010,"fabricated metal products, machinery and equipment",4.7
500,2010,"electronic, computer and optical products",5.6
501,2010,transport equipment,-9.4
502,2010,other manufacturing industries,2.2
503,2010,wholesale and retail trade,10.1
504,2010,wholesale and retail trade,3.1
505,2010,transportation and storage,1.8
506,2010,transportation and storage,1.2
507,2010,transportation and storage,1.7
508,2010,transportation and storage,2
509,2010,accommodation and food services,5.4
510,2010,accommodation and food services,10.2
511,2010,information and communications,1.8
512,2010,information and communications,6.7
513,2010,financial and insurance services,5.6
514,2010,financial and insurance services,1
515,2010,real estate services,2.4
516,2010,professional services,6
517,2010,professional services,3.1
518,2010,professional services,2.5
519,2010,administrative and support services,1
520,2010,administrative and support services,1.8
521,2010,administrative and support services,8.9
522,2010,"community, social and personal services",7.8
523,2010,"community, social and personal services",7.9
524,2010,"community, social and personal services",10.7
525,2010,"community, social and personal services",7.5
526,2011,others,0.8
527,2011,construction,21.8
528,2011,"food, beverages and tobacco",0.5
529,2011,paper / rubber / plastic products and printing,-0.4
530,2011,"petroleum, chemical and pharmaceutical products",-1
531,2011,"fabricated metal products, machinery and equipment",4.9
532,2011,"electronic, computer and optical products",-5.3
533,2011,transport equipment,6.2
534,2011,other manufacturing industries,0.9
535,2011,wholesale and retail trade,7.4
536,2011,wholesale and retail trade,7
537,2011,transportation and storage,1.1
